23,0,47,31,38
17,49,48,36,33
31,11,7,15,0
42,30,15,14,16
14,19,11,34,27
47,42,31,30,3
5,42,30,31,34
44,17,49,27,20
30,10,31,18,26
20,18,2,33,42
33,0,26,8,36
48,44,37,28,23
23,33,6,36,41
10,15,20,14,47
0,3,40,12,7
7,14,28,18,30
12,7,28,22,46
22,14,4,0,5
5,7,27,47,35
8,31,29,20,10
21,43,29,6,0
9,34,0,19,12
1,33,31,29,27
1,3,49,42,17
12,30,33,29,42
37,9,46,1,42
47,37,34,49,15
20,41,4,34,12
45,8,33,48,34
6,15,27,44,13
23,11,47,10,3
10,9,8,47,18
17,18,3,47,5
45,28,35,25,6
33,16,22,30,32
3,36,15,9,45
34,0,47,15,33
42,13,18,36,24
8,30,41,7,11
35,43,39,18,28
26,5,49,41,36
30,48,28,13,34
10,2,1,29,4
47,15,39,28,31
17,0,1,49,40
4,26,13,41,40
25,48,4,9,24
35,9,31,45,42
9,45,10,12,43
31,38,29,34,11
